abbrev,full_name,capital,largest_city,population,area_sq_mi,date_of_admission,governor,state_flower,state_tree,state_bird,state_motto
IL,Illinois,Springfield,Chicago,12802023,57953,12/3/1818,Bruce Rauner,Violet,White Oak,Northern Cardinal,"State Sovereignty, National Union"
CA,California,Sacramento,Los Angeles,39536653,163696,9/9/1850,Jerry Brown,California Poppy,California Redwood,California Quail,Eureka
